Species Number,Alpha Code,Common Name,Band Size,French Name,Scientific Name,T & E*,Comments,Taxonomic Order
1850,SCIB,Scarlet Ibis,6,Ibis rouge,Eudocimus ruber,,,228
1860,GLIB,Glossy Ibis,6,Ibis falcinelle,Plegadis falcinellus,,,229
1870,WFIB,White-faced Ibis,6,Ibis à face blanche,Plegadis chihi,,,230
1871,HYIB,Hybrid Ibis,"6, 7A",Hybride d’Ibis,,,,231
1880,WOST,Wood Stork,8,Tantale d'Amérique,Mycteria americana,Y,,191
1900,AMBI,American Bittern,M: 7A,Butor d'Amérique,Botaurus lentiginosus,,,212
,,,F: 6,,,,,
1910,LEBI,Least Bittern,4,Petit Blongios,Ixobrychus exilis,Manitoba,,214
,,,,,,New Brunswick,,
,,,,,,Nova Scotia,,
,,,,,,Ontario,,
,,,,,,Québec,,
1911,YEBI,Yellow Bittern,4,Blongios de Chine,Ixobrychus sinensis,,,213
1920,GWHE,Great White Heron,8,Grand Héron blanc,Ardea herodias occidentalis,,,215
1940,GBHE,Great Blue Heron,"7B, 8",Grand Héron,Ardea herodias,,,216
1960,GREG,Great Egret,"7B, 7A, 7",Grande Aigrette,Ardea alba,,,217
1969,PRHE,Pacific Reef Heron,7A,Aigrette à gorge blanche,Egretta sacra,,,218
1970,SNEG,Snowy Egret,6,Aigrette neigeuse,Egretta thula,,,219
1980,REEG,Reddish Egret,7A,Aigrette roussâtre,Egretta rufescens,,,222
1990,TRHE,Tricolored Heron,6,Aigrette tricolore,Egretta tricolor,,,221
2000,LBHE,Little Blue Heron,6,Aigrette bleue,Egretta caerulea,,,220
2001,CAEG,Cattle Egret,6,Héron garde-boeufs,Bubulcus ibis,,,223
2010,GRHE,Green Heron,"5, 5A, 6",Héron vert,Butorides virescens,,,224
2020,BCNH,Black-crowned Night-Heron,"7A, 7",Bihoreau gris,Nycticorax nycticorax,,,225
2030,YCNH,Yellow-crowned Night-Heron,"7A, 7",Bihoreau violacé,Nyctanassa violacea,,,226
2040,WHCR,Whooping Crane,"9, 9V",Grue blanche,Grus americana,Y,,292
2060,SACR,Sandhill Crane,"8, 8A, 9",Grue du Canada,Antigone canadensis,,,289
2061,MSCR,Mississippi Sandhill Crane,"8, 8A",Grue du Canada (Mississippi),Antigone canadensis pulla,Y,,290
2070,LIMP,Limpkin,"7A, 6",Courlan brun,Aramus guarauna,,,288
2080,KIRA,King Rail,5,Râle élégant,Rallus elegans,Ontario,,276
2110,CLRA,Clapper Rail,"5, 4A",Râle gris,Rallus crepitans,,,275
2111,CRRA,California Ridgway's Rail,5,Râle de Californie,Rallus obsoletus obsoletus,Y,,272
2112,LFRR,Light-footed Ridgway's Rail,5,Râle de Californie,Rallus obsoletus levipes,Y,,273
2113,YRRA,Yuma Ridgway's Rail,5,,Rallus obsoletus yumanensis,Y,,274
2120,VIRA,Virginia Rail,"2, 3, 2A",Râle de Virginie,Rallus limicola,,Band above the intertarsal joint only. | Bague uniquement au-dessus de l'articulation intertarsienne.,277
2131,YBCR,Yellow-breasted Crake,"3, 2",Marouette à sourcils blancs,Hapalocrex flaviventer,,,279
2140,SORA,Sora,"2, 2A, 3",Marouette de Caroline,Porzana carolina,,Band above the intertarsal joint only (size 2). | Bague uniquement au-dessus de l'articulation intertarsienne (taille 2).,278
2150,YERA,Yellow Rail,"2, 1D",Râle jaune,Coturnicops noveboracensis,,,266
2160,BLRA,Black Rail,"1D, 1A, 2",Râle noir,Laterallus jamaicensis,,,267
2161,BBRA,Buff-banded Rail,4,Râle tiklin,Gallirallus philippensis,,,270
2162,GURA,Guam Rail,4,Râle de Guam,Gallirallus owstoni,Y,,271
2163,EBRA,Eastern Black Rail,"1D, 1A, 2",Râle noir este,Laterallus jamaicensis jamaicensis,Y,see: https://www.fws.gov/southeast/pdf/guidelines/banding-conditions-for-eastern-black-rail.pdf | voir: https://www.fws.gov/southeast/pdf/guidelines/banding-conditions-for-eastern-black-rail.pdf,268
2164,CBRA,California Black Rail,"1D, 1A, 2",Râle noir de Californie,Laterallus jamaicensis coturniculus,,,269
2180,PUGA,Purple Gallinule,"4, 4A, 5",Talève violacée,Porphyrio martinicus,,,281
2181,PUSW,Purple Swamphen,6,Talève sultan,Porphyrio porphyrio,,,280
2190,COGA,Common Gallinule,"5A, 6, 5",Gallinule d’Amérique,Gallinula galeata,,,282
2191,HAGA,Hawaiian Gallinule,"5, 6",Gallinule d’Amérique forme d'Hawaï,Gallinula galeata sandvicensis,Y,,283
2192,MCMO,Mariana Common Moorhen,"5, 6",Gallinule poule-d'eau,Gallinula chloropus guami,Y,,284
2201,HACO,Hawaiian Coot,"6, 5A, 5",Foulque des Hawaï,Fulica alai,Y,,285
2210,AMCO,American Coot,"6, 5A, 5",Foulque d'Amérique,Fulica americana,,,286
2211,CARC,Caribbean Coot,6,Foulque à cachet blanc,Fulica caribaea,,,287
2220,REPH,Red Phalarope,1A,Phalarope à bec large,Phalaropus fulicarius,,,370
2230,RNPH,Red-necked Phalarope,1B,Phalarope à bec étroit,Phalaropus lobatus,,,369
2240,WIPH,Wilson's Phalarope,"1D, 1A, 2",Phalarope de Wilson,Phalaropus tricolor,,,368
2250,AMAV,American Avocet,"4, 4A",Avocette d'Amérique,Recurvirostra americana,,Band above the intertarsal joint only. | Bague uniquement au-dessus de l'articulation intertarsienne.,295
2260,BNST,Black-necked Stilt,"3A, 4, 4A",Échasse d'Amérique,Himantopus mexicanus,,Band above the intertarsal joint only. | Bague uniquement au-dessus de l'articulation intertarsienne.,293
2261,HAST,Hawaiian Stilt,"4, 4A",Échasse des Hawaï,Himantopus mexicanus knudseni,Y,Band above the intertarsal joint only. | Bague uniquement au-dessus de l'articulation intertarsienne.,294
2262,BWST,Black-winged Stilt,4,,Himantopus himantopus,,,291
2270,EUWO,Eurasian Woodcock,3,Bécasse des bois,Scolopax rusticola,,,366
2280,AMWO,American Woodcock,3,Bécasse d'Amérique,Scolopax minor,,,367
2290,COSN,Common Snipe,"3, 3B",Bécassine des marais,Gallinago gallinago,,"This is the Eurasian species, not Wilson's Snipe. | Il s'agit de l'espèce eurasienne, et non de la Bécassine de Wilson.",362
2300,WISN,Wilson's Snipe,"3, 3B, 3A, 2",Bécassine de Wilson,Gallinago delicata,,,363
2301,PTSN,Pin-tailed Snipe,3,Bécassine à queue pointue,Gallinago stenura,,,364
2302,SWSN,Swinhoe's Snipe,3,Bécassine de Swinhoe,Gallinago megala,,,365
2310,SBDO,Short-billed Dowitcher,"2, 2A",Bécassin roux,Limnodromus griseus,,,360
2320,LBDO,Long-billed Dowitcher,"2, 2A",Bécassin à long bec,Limnodromus scolopaceus,,,361
2330,STSA,Stilt Sandpiper,"1A, 1D",Bécasseau à échasses,Calidris himantopus,,,343
2340,REKN,Red Knot,"2, 2A",Bécasseau maubèche,Calidris canutus,British Columbia,,338
,,,,,,Yukon Territory,,
,,,,,,Northwest Territories,,
2341,RRKN,Rufa Red Knot,"2, 2A",Bécasseau maubèche,Calidris canutus rufa,Y,,339
2350,PUSA,Purple Sandpiper,"1A, 1D, 2",Bécasseau violet,Calidris maritima,,,351
2360,ROSA,Rock Sandpiper,"2, 1D",Bécasseau des Aléoutiennes,Calidris ptilocnemis,,,350
2380,SHAS,Sharp-tailed Sandpiper,"1A, 1D",Bécasseau à queue pointue,Calidris acuminata,,,342
2390,PESA,Pectoral Sandpiper,"1A, 1D, 2",Bécasseau à poitrine cendrée,Calidris melanotos,,,357
2400,WRSA,White-rumped Sandpiper,"1A, 1B",Bécasseau à croupion blanc,Calidris fuscicollis,,,355
2410,BASA,Baird's Sandpiper,"1B, 1A",Bécasseau de Baird,Calidris bairdii,,,352
2411,LIST,Little Stint,"1, 1B, 1C",Bécasseau minute,Calidris minuta,,,353
2420,LESA,Least Sandpiper,"1, 1B, 1C",Bécasseau minuscule,Calidris minutilla,,,354
2422,RNST,Red-necked Stint,"1, 1B, 1C",Bécasseau à col roux,Calidris ruficollis,,,347
2423,LTST,Long-toed Stint,"1, 1B",Bécasseau à longs doigts,Calidris subminuta,,,345
2430,DUNL,Dunlin,"1A, 1B, 1D",Bécasseau variable,Calidris alpina,,,349
2440,CUSA,Curlew Sandpiper,1A,Bécasseau cocorli,Calidris ferruginea,,,344
2450,SPOS,Spoon-billed Sandpiper,1A,Bécasseau spatule,Calidris pygmea,,,346
2460,SESA,Semipalmated Sandpiper,"1B, 1",Bécasseau semipalmé,Calidris pusilla,,,358
2470,WESA,Western Sandpiper,"1B, 1",Bécasseau d'Alaska,Calidris mauri,,,359
2480,SAND,Sanderling,"1A, 1D",Bécasseau sanderling,Calidris alba,,,348
2490,MAGO,Marbled Godwit,4,Barge marbrée,Limosa fedoa,,,335
2500,BARG,Bar-tailed Godwit,M: 4,Barge rousse,Limosa lapponica,,,334
,,,F: 4A,,,,,
2510,HUGO,Hudsonian Godwit,3A,Barge hudsonienne,Limosa haemastica,,,333
2520,BLAG,Black-tailed Godwit,4,Barge à queue noire,Limosa limosa,,,332
2532,CGRE,Common Greenshank,"3, 3B, 3A",Chevalier aboyeur,Tringa nebularia,,,322
2540,GRYE,Greater Yellowlegs,"3, 3B",Grand Chevalier,Tringa melanoleuca,,,323
2550,LEYE,Lesser Yellowlegs,"2, 2A",Petit Chevalier,Tringa flavipes,,,325
2560,SOSA,Solitary Sandpiper,"1A, 1D, 2",Chevalier solitaire,Tringa solitaria,,,319
2561,WOSA,Wood Sandpiper,"3, 2, 1D, 1A",Chevalier sylvain,Tringa glareola,,,327
2562,MASA,Marsh Sandpiper,"3, 2, 1D",Chevalier stagnatile,Tringa stagnatilis,,,326
2580,WILL,Willet,"4, 4A, 3A",Chevalier semipalmé,Tringa semipalmata,,,324
2590,WATA,Wandering Tattler,"3, 2, 2A",Chevalier errant,Tringa incana,,,321
2591,GTTA,Gray-tailed Tattler,"3, 2, 2A",Chevalier de Sibérie,Tringa brevipes,,,320
2600,RUFF,Ruff,"3, 2A",Combattant varié,Calidris pugnax,,,341
2610,UPSA,Upland Sandpiper,"3, 2A",Maubèche des champs,Bartramia longicauda,,,328
2620,BBSA,Buff-breasted Sandpiper,1A,Bécasseau roussâtre,Calidris subruficollis,,,356
2630,SPSA,Spotted Sandpiper,"1B, 1A",Chevalier grivelé,Actitis macularius,,,318
2631,COSA,Common Sandpiper,"1B, 1A",Chevalier guignette,Actitis hypoleucos,,,317
2640,LBCU,Long-billed Curlew,"5, 4A, 5A",Courlis à long bec,Numenius americanus,,Use size 6 if banding on tibiotarsus | Utilisez taille 6 si bague est placée sur le tibiotarse.,331
2650,WHIM,Whimbrel,"4, 4A",Courlis corlieu,Numenius phaeopus,,,329
2680,BTCU,Bristle-thighed Curlew,"4A, 5",Courlis d'Alaska,Numenius tahitiensis,,,330
2690,NOLA,Northern Lapwing,5,Vanneau huppé,Vanellus vanellus,,,298
2691,EUDO,Eurasian Dotterel,"1B, 1A",Pluvier guignard,Charadrius morinellus,,,313
2700,BBPL,Black-bellied Plover,"3, 3B, 3A",Pluvier argenté,Pluvialis squatarola,,,299
2710,EUGP,European Golden-Plover,"2, 3",Pluvier doré,Pluvialis apricaria,,,300
2720,AMGP,American Golden-Plover,"3, 2A, 2",Pluvier bronzé,Pluvialis dominica,,AOU split from 2729-LEGP in 1993. | AOU l’a séparé de 2729-LEGP en 1993.,301
2721,PAGP,Pacific Golden-Plover,"3, 2A, 2",Pluvier fauve,Pluvialis fulva,,AOU split from 2729-LEGP in 1993. | AOU l’a séparé de 2729-LEGP en 1993.,302
2729,LEGP,Lesser Golden-Plover,"3, 2A, 2",Pluvier bronzé,,,"Includes Pluvialis dominica and P. fulva, prior to split in 1993. | Comprend Pluvialis dominica et P. fulva, avant leur séparation en 1993.",303
2730,KILL,Killdeer,"2, 2A, 1D",Pluvier kildir,Charadrius vociferus,,,311
2740,SEPL,Semipalmated Plover,"1A, 1B, 1D",Pluvier semipalmé,Charadrius semipalmatus,,,309
2750,CRPL,Common Ringed Plover,"1A, 1B",Pluvier grand-gravelot,Charadrius hiaticula,,,308
2770,PIPL,Piping Plover,"1A, 1B",Pluvier siffleur,Charadrius melodus,Y,,310
2780,SNPL,Snowy Plover,1P,Pluvier neigeux,Charadrius nivosus,,,305
2781,WSPL,Western Snowy Plover,1P,,Charadrius nivosus nivosus,Y,"Endangered western populations (coastal CA, OR, WA). | Populations à l'ouest menacées (CA, OR, WA).",306
2790,LRSP,Lesser Sand-Plover,3,Pluvier de Mongolie,Charadrius mongolus,,,304
2800,WIPL,Wilson's Plover,"1D, 1A, 2",Pluvier de Wilson,Charadrius wilsonia,,,307
2810,MOPL,Mountain Plover,"2, 3",Pluvier montagnard,Charadrius montanus,Alberta,,312
,,,,,,Saskatchewan,,
2820,SURF,Surfbird,"2A, 3, 2",Bécasseau du ressac,Calidris virgata,,,340
2830,RUTU,Ruddy Turnstone,"2A, 2, 3",Tournepierre à collier,Arenaria interpres,,,336
2840,BLTU,Black Turnstone,"2A, 2",Tournepierre noir,Arenaria melanocephala,,,337
2860,AMOY,American Oystercatcher,"5A, 5, 6",Huîtrier d'Amérique,Haematopus palliatus,,,296
2870,BLOY,Black Oystercatcher,"5, 5A",Huîtrier de Bachman,Haematopus bachmani,,,297
2880,NOJA,Northern Jacana,3A,Jacana du Mexique,Jacana spinosa,,,316
3120,BTPI,Band-tailed Pigeon,"5, 5A",Pigeon à queue barrée,Patagioenas fasciata,,,470
3121,PLPI,Plain Pigeon,5,Pigeon simple,Patagioenas inornata,Y,,468
3122,PRPP,Puerto Rican Plain Pigeon,5,,Patagioenas inornata wetmorei,Y,Endangered subspecies in Puerto Rico. | Sous-espèce menacée à Porto Rico.,469
3130,RBPI,Red-billed Pigeon,5,Pigeon à bec rouge,Patagioenas flavirostris,,,467
3140,WCPI,White-crowned Pigeon,"4, 4A",Pigeon à couronne blanche,Patagioenas leucocephala,,Require 4 or 4A short. | Nécessite 4 ou 4A courte.,466
3141,SNPI,Scaly-naped Pigeon,5,Pigeon à cou rouge,Patagioenas squamosa,,,465
3151,SPDO,Spotted Dove,"3A, 4",Tourterelle tigrine,Streptopelia chinensis,,Require 4 short. | Nécessite 4 courte.,474
3152,AFCD,African Collared-Dove,"4, 4A",Tourterelle rieuse,Streptopelia roseogrisea,,,472
3153,ZEBD,Zebra Dove,"3, 2",Géopélie zébrée,Geopelia striata,,,475
3154,WTGD,White-throated Ground Dove,"4, 3A",Gallicolombe pampusane,Alopecoenas xanthonurus,,,480
3155,MAFD,Mariana Fruit Dove,"3A, 3B",Ptilope des Mariannes,Ptilinopus roseicapilla,,,484
3158,PHTD,Philippine Turtle-Dove,"4, 3A",Tourterelle des Philippines,Streptopelia bitorquata,,,471
3159,ECDO,Eurasian Collared-Dove,"4A, 4",Tourterelle turque,Streptopelia decaocto,,Require 4 or 4A short. | Nécessite 4 ou 4A courte.,473
3160,MODO,Mourning Dove,"3A, 3B",Tourterelle triste,Zenaida macroura,,,493
3161,EADO,Eared Dove,3A,Tourterelle oreillarde,Zenaida auriculata,,,492
3170,ZEND,Zenaida Dove,"4, 3A",Tourterelle à queue carrée,Zenaida aurita,,,491
3180,WTDO,White-tipped Dove,"3A, 4, 3B",Colombe de Verreaux,Leptotila verreauxi,,,488
3181,CADO,Caribbean Dove,3A,Colombe de la Jamaïque,Leptotila jamaicensis,,,489
3190,WWDO,White-winged Dove,"4, 3A",Tourterelle à ailes blanches,Zenaida asiatica,,,490
3200,COGD,Common Ground Dove,"2, 1D",Colombe à queue noire,Columbina passerina,,,477
3201,RUGD,Ruddy Ground Dove,2,Colombe rousse,Columbina talpacoti,,,478
3210,INDO,Inca Dove,"2, 3",Colombe inca,Columbina inca,,,476
3220,KWQD,Key West Quail-Dove,"3A, 4",Colombe à joues blanches,Geotrygon chrysia,,,486
3221,RUQD,Ruddy Quail-Dove,"3A, 4, 3B",Colombe rouviolette,Geotrygon montana,,,479
3222,BRQD,Bridled Quail-Dove,"3A, 4",Colombe à croissants,Geotrygon mystacea,,,487
3240,CALC,California Condor,8V,Condor de Californie,Gymnogyps californianus,Y,"Cannot band with metal bands--request “air” bands for reporting wing-tagged birds. | Interdit de baguer avec des bagues métalliques - demander des bagues ""numéros seulement"" pour signaler les oiseaux avec des étiquettes alaires.",235
3250,TUVU,Turkey Vulture,8V,Urubu à tête rouge,Cathartes aura,,"Cannot band with metal bands--request “air” bands for reporting wing-tagged birds. | Interdit de baguer avec des bagues métalliques - demander des bagues ""numéros seulement"" pour signaler les oiseaux avec des étiquettes alaires.",234
3260,BLVU,Black Vulture,8V,Urubu noir,Coragyps atratus,,"Cannot band with metal bands--request “air” bands for reporting wing-tagged birds. | Interdit de baguer avec des bagues métalliques - demander des bagues ""numéros seulement"" pour signaler les oiseaux avec des étiquettes alaires.",233
3270,STKI,Swallow-tailed Kite,6,Milan à queue fourchue,Elanoides forficatus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,238
3271,HBKI,Hook-billed Kite,"6, 7A",Milan bec-en-croc,Chondrohierax uncinatus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,237
3280,WTKI,White-tailed Kite,"6, 5",Élanion à queue blanche,Elanus leucurus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,239
3290,MIKI,Mississippi Kite,5,Milan du Mississippi,Ictinia mississippiensis,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,241
3300,SNKI,Snail Kite,6,Milan des marais,Rostrhamus sociabilis,Y,Lock-on bands recommended. | Bagues enclenchantes recommandées.,240
3310,NOHA,Northern Harrier,"M: 4, 4A",Busard Saint-Martin,Circus hudsonius,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,243
,,,"F: 5, 5A, 6",,,,,
3320,SSHA,Sharp-shinned Hawk,"M: 2, 3",Épervier brun,Accipiter striatus,,,244
,,,"F: 3B, 3A, 3",,,,,
3321,PSSH,Puerto Rican Sharp-shinned Hawk,"M: 2, 3",Épervier brun (venator),Accipiter striatus venator,Y,,245
,,,"F: 3, 3B",,,,,
3330,COHA,Cooper's Hawk,"M: 4, 4A, 5",Épervier de Cooper,Accipiter cooperii,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,246
,,,"F: 5, 6, 4A, 5A",,,,,
3340,UNGO,Unspecified Northern Goshawk,"M: 6, 7A",Autour des palombes non spécifié,,British Columbia,Lock-on bands recommended. | Bagues enclenchantes recommandées.,247
,,,"F: 7A, 7B",,,,,
3341,AGOS,American Goshawk,"M: 6, 7A",Autour d’Amérique,Accipiter atricapillus,Y,"Northern Goshawk split, AOS 64rd Supplement (2023)",248
,,,"F: 7A, 7B",,,,,
3350,HRSH,Harris's Hawk,"7A, 7B, 6",Buse de Harris,Parabuteo unicinctus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,250
3370,RTHA,Red-tailed Hawk,"7B, 7D, 7A",Buse à queue rousse,Buteo jamaicensis,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,261
3380,HRLH,Harlan's Hawk,"7B, 7A, 7D",Buse de Harlan,Buteo jamaicensis harlani,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,262
3390,RSHA,Red-shouldered Hawk,"6, 5, 7A",Buse à épaulettes,Buteo lineatus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,252
3400,ZTHA,Zone-tailed Hawk,"7A, 6",Buse à queue barrée,Buteo albonotatus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,259
3410,WTHA,White-tailed Hawk,"7A, 7B",Buse à queue blanche,Geranoaetus albicaudatus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,258
3420,SWHA,Swainson's Hawk,"M: 7A, 6",Buse de Swainson,Buteo swainsoni,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,257
,,,"F: 7A, 7B",,,,,
3430,BWHA,Broad-winged Hawk,"5, 6",Petite Buse,Buteo platypterus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,253
3431,ROHA,Roadside Hawk,5,Buse à gros bec,Rupornis magnirostris,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,251
3432,PBWH,Puerto Rican Broad-winged Hawk,6,Petite Buse (Porto Rico),Buteo platypterus brunnescens,Y,Lock-on bands recommended. | Bagues enclenchantes recommandées.,254
3440,STHA,Short-tailed Hawk,6,Buse à queue courte,Buteo brachyurus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,256
3441,HWHA,Hawaiian Hawk,"6, 7A",Buse d'Hawaï,Buteo solitarius,Y,Lock-on bands recommended. | Bagues enclenchantes recommandées.,260
3450,CBHA,Common Black Hawk,"7A, 6",Buse noire,Buteogallus anthracinus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,249
3460,GRHA,Gray Hawk,"6, 7A",Buse cendrée,Buteo plagiatus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,255
3470,RLHA,Rough-legged Hawk,"M: 7A, 7B, 6",Buse pattue,Buteo lagopus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,264
,,,"F: 7B, 7A, 7D",,,,,
3480,FEHA,Ferruginous Hawk,"7D, 8, 7B, 7A",Buse rouilleuse,Buteo regalis,Alberta,Lock-on bands recommended. | Bagues enclenchantes recommandées.,263
,,,,,,Manitoba,,
,,,,,,Saskatchewan,,
3490,GOEA,Golden Eagle,"9, 9A, 9C",Aigle royal,Aquila chrysaetos,,Rivet bands only. | Bagues à rivet seulement.,265
3520,BAEA,Bald Eagle,"9, 8A, 9A",Pygargue à tête blanche,Haliaeetus leucocephalus,,Rivet bands only. | Bagues à rivet seulement.,242
3540,GYRF,Gyrfalcon,7B,Faucon gerfaut,Falco rusticolus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,626
3550,PRFA,Prairie Falcon,"M: 6, 7A, 5",Faucon des prairies,Falco mexicanus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,628
,,,"F: 7A, 7B, 6",,,,,
3560,PEFA,Peregrine Falcon,"M: 6, 7A",Faucon pèlerin,Falco peregrinus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,627
,,,"F: 7A, 7B",,,,,
3570,MERL,Merlin,"M: 3, 3B, 3A",Faucon émerillon,Falco columbarius,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,624
,,,"F: 4, 3A, 3B",,,,,
3590,APFA,Aplomado Falcon,M: 4,Faucon aplomado,Falco femoralis,Y,Lock-on bands recommended. | Bagues enclenchantes recommandées.,625
,,,F: 5,,,,,
3591,EUKE,Eurasian Kestrel,"3B, 4",Faucon crécerelle,Falco tinnunculus,,,622
3600,AMKE,American Kestrel,"3B, 3A, 3",Crécerelle d'Amérique,Falco sparverius,,,623
3620,CRCA,Crested Caracara,"7A, 7B",Caracara du Nord,Caracara plancus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,620
3621,ACCA,Audubon's Crested Caracara,"7A, 7B",,Caracara plancus audubonii,Y,Endangered population in Florida. Lock-on bands recommended. | Population menacée en Floride. Bagues enclenchantes recommandées.,621
3640,OSPR,Osprey,"8, 7D",Balbuzard pêcheur,Pandion haliaetus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,236
3650,BNOW,Barn Owl,"6, 7A",Effraie des clochers,Tyto alba,Ontario,Lock-on bands recommended. | Bagues enclenchantes recommandées.,503
,,,,,,Québec,,
3651,AFOW,Ashy-faced Owl,"6, 7A",Effraie d'Hispaniola,Tyto glaucops,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,504
3660,LEOW,Long-eared Owl,"6, 5",Hibou moyen-duc,Asio otus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,524
3670,SEOW,Short-eared Owl,6,Hibou des marais,Asio flammeus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,525
3680,BDOW,Barred Owl,"7B, 7D",Chouette rayée,Strix varia,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,522
3686,SBOH,Spotted X Barred Owl Hybrid,7B,Hybride de Chouette tachetée et Chouette rayée,,,Lock-on bands recommended. Strix occidentalis X S. varia. | Bagues enclenchantes recommandées. Strix occidentalis X S. varia. ,518
3690,SPOW,Spotted Owl,7B,Chouette tachetée,Strix occidentalis,British Columbia,Lock-on bands recommended. | Bagues enclenchantes recommandées.,517
3691,CSOW,California Spotted Owl,"7B, 7A",Chouette tachetée (Californie),Strix occidentalis occidentalis,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,519
3692,NSOW,Northern Spotted Owl,"7B, 7A",Chouette tachetée de la sous-espèce caurina,Strix occidentalis caurina,Y,Lock-on bands recommended. | Bagues enclenchantes recommandées.,520
3693,MSOW,Mexican Spotted Owl,"7B, 7A",,Strix occidentalis lucida,Y,Lock-on bands recommended. | Bagues enclenchantes recommandées.,521
3700,GGOW,Great Gray Owl,8,Chouette lapone,Strix nebulosa,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,523
3710,BOOW,Boreal Owl,"5, 6",Nyctale de Tengmalm,Aegolius funereus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,526
3720,NSWO,Northern Saw-whet Owl,"4, 3A, 4A",Petite Nyctale,Aegolius acadicus,British Columbia,Use 4 (or 4A if needed) short. | Utilisez 4 courte (ou 4A si nécessaire).,527
3730,EASO,Eastern Screech-Owl,"5, 4A, 4",Petit-duc maculé,Megascops asio,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,507
3731,WHSO,Whiskered Screech-Owl,"4, 3A",Petit-duc à moustaches,Megascops trichopsis,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,508
3732,WESO,Western Screech-Owl,"5, 4A, 4",Petit-duc des montagnes,Megascops kennicottii,British Columbia,Lock-on bands recommended. | Bagues enclenchantes recommandées.,506
3734,PURO,Puerto Rican Owl,"4, 4A",Petit-duc de Porto Rico,Gymnasio nudipes,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,509
3740,FLOW,Flammulated Owl,"3, 3B, 2",Petit-duc nain,Psiloscops flammeolus,,,505
3750,GHOW,Great Horned Owl,"8, 8A, 9, 7D",Grand-duc d'Amérique,Bubo virginianus,,Lock-on bands recommended. | Bagues enclenchantes recommandées.,510
3760,SNOW,Snowy Owl,"8A, 8, 9",Harfang des neiges,Bubo scandiacus,,Rivet or Lock-on bands recommended. | Bagues à rivet ou enclenchantes recommandées.,511
3770,NHOW,Northern Hawk Owl,"7A, 7B",Épervière boréale,Surnia ulula,,Require 7A or 7B short. | Nécessite 7A ou 7B courte.,512
3780,BUOW,Burrowing Owl,4,Chevêche des terriers,Athene cunicularia,Alberta,Lock-on bands recommended. | Bagues enclenchantes recommandées.,516
,,,,,,British Columbia,,
,,,,,,Manitoba,,
,,,,,,Saskatchewan,,
3790,NOPO,Northern Pygmy-Owl,"3, 3B, 3A, 4",Chevêchette naine,Glaucidium gnoma,,,513
3800,FEPO,Ferruginous Pygmy-Owl,"3B, 3A, 3",Chevêchette brune,Glaucidium brasilianum,Y,,514
3810,ELOW,Elf Owl,"2, 2A",Chevêchette des saguaros,Micrathene whitneyi,,,515
3811,NAPA,Nanday Parakeet,"4, 3A",Conure Nanday,Aratinga nenday,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",631
3812,HPKT,Hispaniolan Parakeet,"3A, 3B",Conure maîtresse,Psittacara chloropterus,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",635
3813,OFPA,Orange-fronted Parakeet,"3A, 3B",Conure à front rouge,Eupsittula canicularis,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",633
3814,BTPA,Brown-throated Parakeet,"3, 2",Conure cuivrée,Eupsittula pertinax,,"No butt-end bands, special parrot bands only. | Pas de bagues à joint abouté, seulement des bagues spéciales pour perroquets.",634
